Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Decade,Primary_Genre,Rating_Band
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,2010,Drama,Good (6–8)
#Homecoming,2021,90,"Drama, Musical",,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,2020,Drama,
#Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,2010,Comedy,Average (4–6)
...And Once Again,2010,105,Drama,,,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali,2010,Drama,
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,1990,Comedy,Average (4–6)
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,2000,Drama,Good (6–8)
.in for Motion,2008,59,Documentary,,,Anirban Datta,Unknown,Unknown,Unknown,2000,Documentary,
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,2010,Horror,Average (4–6)
@Andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,2010,Action,Poor (<4)
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,2000,Drama,Good (6–8)
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,2010,Horror,Average (4–6)
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,1990,Horror,Good (6–8)
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,2010,Comedy,Average (4–6)
101 Ratein,1990,129,Thriller,,,Harish,Saraswati,Disco Shanti,Unknown,1990,Thriller,
102 Not Out,2018,102,"Comedy, Drama",7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,2010,Comedy,Good (6–8)
108 Limited,,129,Unknown,,,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam,,Unknown,
108 Teerthyatra,1987,129,"Comedy, Drama, Fantasy",,,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu,1980,Comedy,
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,2010,Comedy,Good (6–8)
11 O'Clock,1948,129,Unknown,,,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi,1940,Unknown,
